article_name,cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
naturefresh kchi ghni mustrd oil bt 1l,naturefresh kchi ghni mustrd bt ,1l,,edible oil ghee,grocery,,naturefreh kchi ghni mutrd bt ,[]
nature fresh soybean oil pp 1l, soybean pp ,1l,nature fresh,organic edible oil fats,grocery,flavor: soybean, pp ,[]
naturefresh chakki atta pp 10kg,naturefresh chakki atta pp ,10kg,,breakfast cereals,branded food,flavor: chakki,naturefresh atta pp ,['atta']
tip top roasted dalia 500g, roasted dalia ,500g,tip top,noodles pastas vermicelli,branded food,flavor: dalia flavor: roasted, ,[]
uncle chipps plain salted 55g, plain salted ,55g,uncle chipps,chips namkeens snacks,branded food,, plain alted ,['plain']
frooti mango 1l, mango ,1l,frooti,breakfast cereals,branded food,flavor: mango, ,[]
kissan jam tropical blast bottle 320g, jam tropical blast bottle ,320g,kissan,jams spreads honey,branded food,, jam tropical blat bottle ,"['jam', 'tropical', 'bottle']"
pampers baby diaper actv baby lrg 78p, diaper actv lrg ,78p,pampers,baby care,baby care,type: diaper, actv lrg ,[]
weikfield baking powder 50g, baking powder ,50g,weikfield,masala spices,grocery,, baking powder ,"['baking', 'powder']"
sunkist orange lemon lime juice 300ml, orange lemon lime juice ,300ml,sunkist,fruit juices drinks,beverages,flavor: lime flavor: lemon flavor: juice flavor: orange color: orange, ,[]
weikfield pasta tomato salsa pp 64g, pasta tomato salsa pp ,64g,weikfield,sauces puree dips,branded food,flavor: salsa flavor: tomato flavor: pasta, pp ,[]
mamy poko pants baby diaper med 40p 42p,mamy poko pants diaper med 42p,40p,baby,baby care,baby care,type: diaper type: pants,mamy poko med 42p,['med']
pediasure complete & balanced vanilla box 750g, complete & balanced vanilla box ,750g,pediasure,health drinks,beverages,flavor: vanilla, complete & balanced box ,"['complete', 'balanced', 'box']"
ching s secret, ecret,,ching s secret,noodles pastas vermicelli,branded food,, ecret,[]
chings secret mixed vegetable instant soup 30g, ecret mixed vegetable intant oup ,30g,ching s secret,noodles pastas vermicelli,branded food,flavor: vegetable, ecret mixed intant oup ,"['mixed', 'oup']"
citra skin crm korean pink pearl tb 50g, skin crm korean pink pearl tb ,50g,citra,home cleaning,home hygiene,type: skin color: pink type: pink, crm korean pearl tb ,"['korean', 'pearl']"
mamypoko pants s1, pants s1,,mamypoko,baby care,baby care,type: pants, s1,[]
frish frozen veg samosa patti pp 190g,frish samosa patti pp ,190g,frozen,frozen veg,branded food,flavor: samosa,frish patti pp ,['patti']
hello panda milk cream biscuit 50g, milk cream biscuit ,50g,hello panda,biscuits cookies crackers,branded food,type: cream flavor: cream flavor: milk, biscuit ,['biscuit']
patanjali amla aloevera litchi 65ml, amla aloevera litchi ,65ml,patanjali,otc,beauty personal care,flavor: amla flavor: litchi, aloevera ,[]
patanjali lemon honey facewash 60g, lemon honey facewash ,60g,patanjali,skin care,beauty personal care,type: honey flavor: honey flavor: lemon, facewash ,[]
lays indian magic masala party flavour chips 177g,lays indian magic masala party flavour ,177g,,chips namkeens snacks,branded food,,lay indian magic maala party flavour ,"['lay', 'indian', 'magic', 'party', 'flavour']"
zorabian chicken n cheese balls pp 250g, chicken n cheese balls pp ,250g,zorabian,chips namkeens snacks,branded food,flavor: cheese flavor: chicken, n balls pp ,['balls']
nilons pickle mixed poly pack 200g,nilons pickle mixed poly pack ,200g,,pickles chutneys,branded food,flavor: pickle,nilons mixed poly pack ,"['mixed', 'poly', 'pack']"
park avenue hair gel rugged hold 100g, gel rugged hold ,100g,park avenue,hair care,beauty personal care,type: gel, rugged hold ,"['rugged', 'hold']"
patanjali plain chyawanprash jr 1kg, plain chyawanprash jr ,1kg,patanjali,otc,beauty personal care,type: chyawanprash, plain jr ,['plain']
park avenue hair gel wet look 100g, gel wet look ,100g,park avenue,hair care,beauty personal care,type: gel, wet look ,"['wet', 'look']"
patanjali nat khat biscuit 40g, nat khat biscuit ,40g,patanjali,biscuits cookies crackers,branded food,, nat khat bicuit ,"['nat', 'khat']"
rasna fruit con plus pineajrle jr 500g, fruit con plus pineajrle jr ,500g,rasna,fun drink mix,beverages,flavor: fruit, con plus pineajrle jr ,"['con', 'plus']"
lindt chocolate swiss dark 100g,lindt swiss dark ,100g,chocolate,chocolates cakes confectioneries,branded food,color: dark,lindt swiss ,['swiss']
colonel & co olive & herb nacho salsa 75g, olive herb nacho salsa ,75g,colonel & co,chips namkeens snacks,branded food,flavor: olive flavor: nacho flavor: herb flavor: salsa color: olive, ,[]
lion dry fruit deseeded dates cup 200g,lion deseeded dates cup ,200g,fruit,dry fruits,grocery,flavor: deseeded,lion dates cup ,"['lion', 'dates', 'cup']"
chings secret manchow soup 55g, ecret manchow oup ,55g,ching s secret,noodles pastas vermicelli,branded food,, ecret manchow oup ,['oup']
lactima cheese emmentaler pp 130g, cheese emmentaler pp ,130g,lactima,chips namkeens snacks,branded food,flavor: cheese, emmentaler pp ,[]
rasna utsav pineapple powder concentrate 32 glasses, utsav pineapple powder concentrate asses,32 gl,rasna,masala spices,grocery,flavor: pineapple, utsav powder concentrate asses,"['powder', 'concentrate', 'asses']"
pediasure complete chocolate jr 400g, complete chocolate jr ,400g,pediasure,health drinks,beverages,type: chocolate flavor: chocolate, complete jr ,['complete']
abbies tuna chunks sunflower oil tn 185g,abbies tuna chunks sunflower tn ,185g,,edible oil ghee,grocery,flavor: tuna flavor: sunflower,abbies chunks tn ,['chunks']
brijnandan ni namk raj moti pp 100g,brijnandan ni namk raj pp ,100g,moti,toys,toys stationery,,brijnandan ni namk raj pp ,['raj']
xalta sft drnk cola bt 2l, sft drnk cola bt ,2l,xalta ,toys,toys stationery,, ft drnk cola bt ,['cola']
lindt choco exc dark sea salt 100g, choco exc dark sea salt ,100g,lindt,chocolates cakes confectioneries,branded food,flavor: choco color: dark, exc sea salt ,"['exc', 'sea', 'salt']"
olay sc natural white fairness uv bx 20g, sc natural white fairness uv bx ,20g,olay,skin care,beauty personal care,color: white, sc natural fairness uv bx ,"['natural', 'fairness']"
vaseline skin crm pet jelly 20g, crm pet jelly ,20g,vaseline,skin care,beauty personal care,flavor: jelly, crm pet ,['pet']
lipton tea green 100g, green ,100g,lipton,tea coffee,beverages,color: green, ,[]
safal sweet corn 200g, sweet corn ,200g,safal,ready to eat,branded food,flavor: corn, sweet ,['sweet']
vaseline intensive care deep restore body lotion 40 ml, intensive deep restore body lotion ,40 ml,vaseline,skin care,beauty personal care,type: lotion, intensive deep restore body ,"['intensive', 'deep', 'restore', 'body']"
vaseline intensive care cocoa glow body lotion 40 ml, intensive cocoa glow body lotion ,40 ml,vaseline,skin care,beauty personal care,type: lotion color: glow, intensive cocoa body ,"['intensive', 'cocoa', 'body']"
saffola oats masala veggie twist pp 400g, oats masala veggie twist pp ,400g,saffola,breakfast cereals,branded food,flavor: veggie flavor: oats, masala twist pp ,"['masala', 'twist']"
dabur digestive hajmola regular120p, digestive hajmola regular,120p,dabur,chips namkeens snacks,branded food,, digetive hajmola regular,['regular']
foodex methi mathi namkeen 200g, methi mathi namkeen ,200g,foodex,chocolates cakes confectioneries,branded food,flavor: namkeen flavor: methi, mathi ,[]
loreal paris total repair 5 serum 40ml,orea tota repair erum 40m,5 s,l oreal paris,otc,beauty personal care,,orea tota repair erum 40m,['repair']
zandu sonachand chyawnprash plus jr 450g, sonachand chyawnprash plus jr ,450g,zandu,toys,toys stationery,, onachand chyawnprah plu jr ,[]
yogabar choco varity pack 6pcs 228g,yogabar choco varity pack 228g,6pcs,,chocolates cakes confectioneries,branded food,flavor: choco,yogabar varity pack 228g,['pack']
maggi soup winter vegetables ginger 15g, soup winter vegetables ginger ,15g,maggi,noodles pastas vermicelli,branded food,flavor: vegetables flavor: ginger flavor: soup, winter ,['winter']
maggi gravymix vegetable cubes 40g, gravymix vegetable cubes ,40g,maggi,noodles pastas vermicelli,branded food,flavor: vegetable, gravymix cubes ,['cubes']
bblunt shmp perfect balance bt 400ml, shmp perfect balance bt ,400ml,bblunt,deos perfumes,beauty personal care,, hmp perfect balance bt ,"['perfect', 'balance']"
protinex grow malt 400g bib, grow malt bib,400g,protinex,chocolates cakes confectioneries,branded food,type: bib, grow malt ,"['grow', 'malt']"
wagh bakri tea premix masala box 10*14g, premix masala box ,10*14g,wagh bakri,tea coffee,beverages,, premix maala box ,['box']
amul kool badam shake 180ml, kool badam shake ,180ml,amul,frozen veg,branded food,flavor: badam, kool shake ,['shake']
golden harvest sea salt grinder bottle 100 g, sea salt rinder bottle ,100 g,golden harvest,masala spices,grocery,, ea alt rinder bottle ,"['alt', 'bottle']"
girnar instant premix masala tea 140g, instant premix masala ,140g,girnar,tea coffee,beverages,, intant premix maala ,[]
girnar royal cup tea 250g, royal cup ,250g,girnar,tea coffee,beverages,, royal cup ,"['royal', 'cup']"
5star cadbury choco 3d pp 45g,tar choco 3d pp 45g,5s,cadbury,chocolates cakes confectioneries,branded food,flavor: choco,tar 3d pp 45g,['tar']
cadbury fuse value pack pp 3*45g, fuse value pack pp ,3*45g,cadbury,chocolates cakes confectioneries,branded food,, fue value pack pp ,"['value', 'pack']"
bajaj hairoil almond drop 100ml, hairoil almond drop ,100ml,bajaj,chocolates cakes confectioneries,branded food,flavor: almond, hairoil drop ,['drop']
mothers rec chicken moghalai mix 80g,mothers rec chicken moghalai mix ,80g,,baking dessert mixes,branded food,flavor: chicken,mothers rec moghalai mix ,"['mothers', 'rec', 'mix']"
mothers rec pastes garlic 100g,mothers rec pastes garlic ,100g,,sauces puree dips,branded food,flavor: garlic,mothers rec pastes ,"['mothers', 'rec', 'pastes']"
mothers recipe sago papad 75g, ago papad ,75g,mother s recipe,ready to fry,branded food,flavor: papad, ago ,['ago']
kettle studio naked sea salt chips 47g, naked sea salt ,47g,kettle studio,chips namkeens snacks,branded food,, naked ea alt ,"['naked', 'alt']"
kelloggs cornflakes real honey box 630g,kelloggs cornflakes honey box ,630g,real,noodles pastas vermicelli,branded food,flavor: honey type: honey,kelloggs cornflakes box ,"['kelloggs', 'cornflakes', 'box']"
haldiram namkeen chana jor 200g, namkeen chana jor ,200g,haldiram s,chips namkeens snacks,branded food,flavor: chana flavor: namkeen, jor ,[]
haldiram namkeen punjabi tadka 200g, namkeen punjabi tadka ,200g,haldiram s,chips namkeens snacks,branded food,flavor: tadka flavor: namkeen, punjabi ,['punjabi']
hen fruit large white egg 6 pack, large white egg ack,6 p,hen fruit,chocolates cakes confectioneries,branded food,flavor: egg color: white, large ack,"['large', 'ack']"
ektaa jaggery kolhapur 800gm, jaggery kolhapur m,800g,ektaa,chocolates cakes confectioneries,branded food,flavor: jaggery, kolhapur m,[]
desi atta khatta dhokla mix pp 200g, kh dhokla mix pp ,200g,desi atta company,masala spices,grocery,flavor: dhokla, kh mix pp ,['mix']
desi atta modak pp 500g, modak pp ,500g,desi atta company,ready to eat,branded food,flavor: modak, pp ,[]
haldiram s long sev mixture 200g, long ev mixture ,200g,haldiram s,chips namkeens snacks,branded food,, long ev mixture ,"['long', 'mixture']"
aer pocket tangy+valy+misty 3*10g,aer pocket tangy+valy+misty ,3*10g,,freshners repellents,home hygiene,,aer pocket tangy+valy+mity ,"['aer', 'pocket']"
aer freshnr car petal crush pink bx 45g,aer freshnr car petal crush pink bx ,45g,,freshners repellents,home hygiene,color: pink type: pink,aer freshnr car petal crush bx ,"['aer', 'car', 'petal', 'crush']"
aashirvaad pow spice chilli pp 500g, pow spice chilli pp ,500g,aashirvaad,masala spices,grocery,flavor: chilli, pow spice pp ,"['pow', 'spice']"
haldiram sweet panjeeri ladoo bx 400g, weet panjeeri ladoo bx ,400g,haldiram s,chips namkeens snacks,branded food,flavor: ladoo, weet panjeeri bx ,[]
cadbury choc bournvile rich cocoa 31g, choc bournvile rich cocoa ,31g,cadbury,chocolates cakes confectioneries,branded food,, choc bournvile rich cocoa ,"['choc', 'rich', 'cocoa']"
keya pow spice chinese seasoning 50g, pow spice chinese seasoning ,50g,keya,masala spices,grocery,flavor: seasoning, pow spice chinese ,"['pow', 'spice', 'chinese']"
amrutnjn pain rollon,amrutnjn pain rollon,,amrutanjan,otc,beauty personal care,,amrutnjn pain rollon,['pain']
too yumm vge stix chilly chataka pp 30g, yumm vge stix chilly chataka pp ,30g,too yumm!,otc,beauty personal care,, yumm vge tix chilly chataka pp ,['chilly']
ashok readymix chana 100g, readymix chana ,100g,ashok,chips namkeens snacks,branded food,flavor: chana, readymix ,[]
ttrt frozen french fries pp 1kg,ttrt french fries pp ,1kg,frozen,frozen veg,branded food,flavor: fries,ttrt french pp ,['french']
"robinsons fruit shoot, apple & blueberry 300ml"," shoot, apple & blueberry ",300ml,robinsons,fruit juices drinks,beverages,flavor: apple flavor: blueberry," shoot, & ",[]
"robinsons fruit shoot, mango 300ml"," shoot, mango ",300ml,robinsons,fruit juices drinks,beverages,flavor: mango," shoot, ",[]
jalani powder concentrate jaljira 100g, powder concentrate jaljira ,100g,jalani,masala spices,grocery,, powder concentrate jaljira ,"['powder', 'concentrate']"
pratha agrbti mutha vibhuti exhibt 200g, agrbti mutha vibhuti exhibt ,200g,pratha,toys,toys stationery,, agrbti mutha vibhuti exhibt ,[]
jalaram diet khakhra mobile methi 180g,jalaram khakhra mobile methi ,180g,diet,organic flours,grocery,flavor: methi,jalaram khakhra mobile ,['mobile']
jalaram diet khakhra mobile sada 180g,jalaram khakhra mobile sada ,180g,diet,organic flours,grocery,,jalaram khakhra mobile ada ,"['mobile', 'ada']"
wingreens cheesy jalapeno sauce 100g, cheesy jalapeno sauce ,100g,wingreens,sauces puree dips,branded food,flavor: sauce flavor: jalapeno, cheesy ,['cheesy']
clmt phenyls jasmine 5l, phenyls jasmine ,5l,clmt,mineral water soda,beverages,flavor: jasmine, phenyls ,[]
clmt floor cleaner jasmine bt 500ml, floor cleaner jasmine bt ,500ml,clmt,home cleaning,home hygiene,flavor: jasmine, floor cleaner bt ,"['floor', 'cleaner']"
rajam namkeen mrk mas 180g, namkeen mrk mas ,180g,rajam,chips namkeens snacks,branded food,flavor: namkeen, mrk mas ,['mas']
cadbury dm silk mocha caramello 60g, dm silk mocha caramello ,60g,cadbury,chocolates cakes confectioneries,branded food,type: silk flavor: mocha, dm caramello ,[]
cadbury dairy milk chocolate 52g,cadbury dairy milk ,52g,chocolate,chocolates cakes confectioneries,branded food,flavor: dairy flavor: milk,cadbury ,['cadbury']
paper boat jaljeera juice 250ml, jaljeera juice ,250ml,paper boat,fruit juices drinks,beverages,flavor: juice, jaljeera ,[]
bikano navratan mixture namkeen 1kg, navratan mixture namkeen ,1kg,bikano,chips namkeens snacks,branded food,flavor: namkeen, navratan mixture ,['mixture']
surf excel det bar 95g, det bar ,95g,surf excel,laundry,home hygiene,, det bar ,"['det', 'bar']"
royal mirage b spr pink 200m, b spr pink 200m,,royal mirage,oral care,beauty personal care,color: pink type: pink, b spr 200m,['spr']
whole green olive pickles 450g,whole olive ,450g,green brrew,pickles chutneys,branded food,flavor: olive color: olive,whole ,['whole']
knorr chinese chilli, chinese chilli,,knorr,ready to eat,branded food,flavor: chilli, chinese ,['chinese']
krack heal repair cream 25g, heal repair cream ,25g,krack,hair care,beauty personal care,type: cream flavor: cream, heal repair ,"['heal', 'repair']"
gh prime finger millet pp 500g,gh prime finger millet pp ,500g,,breakfast cereals,branded food,flavor: millet,gh prime finger pp ,"['prime', 'finger']"
gh prime rajma sharmli pp 500g,gh prime rajma sharmli pp ,500g,,frozen veg,branded food,flavor: rajma,gh prime sharmli pp ,['prime']
gh prime urad whole black pp 500g,gh prime urad whole black pp ,500g,,baby food,baby care,flavor: urad color: black,gh prime whole pp ,"['prime', 'whole']"
premium talc beauty 1+1 300g, talc + ,1 300g,premium,skin care,beauty personal care,type: talc, + ,[]
palmolive hw foaming lime&mint bt 500ml, hw foaming lime&mint bt ,500ml,palmolive,skin care,beauty personal care,, hw foaming lime&mint bt ,['foaming']
ph who spice big sauf 100g,ph who big sauf ,100g,old spice,freshners repellents,home hygiene,,ph who big auf ,"['big', 'auf']"
ayush anti marks turmeric face cream 25g, anti marks turmeric face cream ,25g,lever ayush,skin care,beauty personal care,type: cream flavor: cream flavor: turmeric, anti marks face ,"['anti', 'marks', 'face']"
vita dahi 200 cup, dahi 2 ,00 cup,vita,chocolates cakes confectioneries,branded food,flavor: dahi, 2 ,[]
white tone talc face powder bx 70g, talc face powder bx ,70g,white tone,skin care,beauty personal care,type: talc, face powder bx ,"['face', 'powder']"
