cleaned,quantity,final_brand,class1,class2
 milk ice intence caf tp ,180ml,nescafe,tea coffee,beverages
 flvrd milk hake almond tp ,200ml,hershey s,chocolates cakes confectioneries,branded food
amaranthus ,,dhampur green,tea coffee,beverages
 soap ,75g,dettol,skin care,beauty personal care
 pink facewash all types -,,bajaj nomarks,skin care,beauty personal care
 liq polish instant wax brown 75m,,kiwi,skin care,beauty personal care
 rec preserve garlic paste pp ,200g,mother dairy,jams spreads honey,branded food
 cow box ,1l,aavin ,edible oil ghee,grocery
lotte candies eclairs pp ,478g,chocolate,chocolates cakes confectioneries,branded food
" cashew nuts mixed macadamias, salted ",35g,tong garden,chocolates cakes confectioneries,branded food
gh daily who kasuri methi ,50g,old spice,freshners repellents,home hygiene
mango chausa,,chhagan magan,soft drinks,beverages
pear ashpati,,wipe n shine,chocolates cakes confectioneries,branded food
watermelon century,,,chocolates cakes confectioneries,branded food
bhutta s corn,,desi atta company,breakfast cereals,branded food
garlic china,,organic india,organic spices,grocery
catla whole,,home alone,chocolates cakes confectioneries,branded food
 deo stick 3x intense tube ,40g,cinthol,deos perfumes,beauty personal care
 cheese & onion kale ,30g,the green snack co.,chips namkeens snacks,branded food
 green chilli in olive oil pickle ,300g,soul,pickles chutneys,branded food
sour punk candies blueberry pp ,40g,fevi stick,stationery,toys stationery
 g spad lite mayonnaise 473m,,american garden,jams spreads honey,branded food
women s caramel jar ,400g,horlicks,health drinks,beverages
 pow spice turmeric pp ,100g,catch,masala spices,grocery
 aloo cheese balls ,120g,vegit,frozen veg,branded food
 potato bsed masala tadka ,45g,bingo,chips namkeens snacks,branded food
" natural spring water - lemon, ",750ml,catch,freshners repellents,home hygiene
 masala ,50g,catch,tea coffee,beverages
crmt tongue cleaner ,1p,,home cleaning,home hygiene
 pow spice kutilal chilli pp ,100g,everest,masala spices,grocery
 readymix pav bhaji bx ,100g,everest,masala spices,grocery
 sweet lassi strawbery ,200ml,mother dairy,pickles chutneys,branded food
 green peas pp ,500g,veg affaire,frozen veg,branded food
 chicken popcorn m,500g,meatzza,ready to eat,branded food
chicken tandoori wings ,250g,,pet care,home hygiene
 strawberries ,200g,veg affaire,frozen veg,branded food
pampers pants lrg ,20p,premium,baby care,baby care
diet paneer ,200g,tofu,ready to eat,branded food
 souce squezo no oni no grlc ,450g,kissan,sauces puree dips,branded food
 detergent bar ,5*200g,clmt,laundry,home hygiene
 floor cleaner citrus ,2l,clmt,home cleaning,home hygiene
 flr cln disinfectant lavender 500m,,clmt,oral care,beauty personal care
 tbrsh pokemon jiggle wgl bp ,1p,aquawhite,toys,toys stationery
 pancake mix original ,250g,betty crocker,baking dessert mixes,branded food
 milk pp ,100g,unibic,biscuits cookies crackers,branded food
 gel cool hold bt ,250ml,set wet,hair care,beauty personal care
 yippee ndl my mystry msl pp ,60g,sunfeast,noodles pastas vermicelli,branded food
 shakkar pare ,200g,foodex,chips namkeens snacks,branded food
 shmp almond int nourishment ,350ml,dabur,otc,beauty personal care
 ic tape 3 4 x 32.9 mtrs w disp,3m mag,3m,stationery,toys stationery
 san pad all nght advanced xl ,7p,stayfree,feminine care,beauty personal care
 pad maxi night xl wg c,7p,whisper,feminine care,beauty personal care
 bitter orange marmalade ,470g,bhuira,soft drinks,beverages
 food active ,3kg,pedigree,pet care,home hygiene
colour nat hrclr light no5 100m,,brown & polson,chocolates cakes confectioneries,branded food
 fw white complete dbl action ,50g,garnier,skin care,beauty personal care
 mini brush,,vega,hair care,beauty personal care
 skn crm white spfa 35g,15p,ponds,skin care,beauty personal care
" 9 to rimer + matte li color, lc r2 male ma, 3.6 g",5 p,lakme,skin care,beauty personal care
 asrtd container free pack ,840g,top ramen,noodles pastas vermicelli,branded food
 nctr strawbry banana float cn ,240ml,rani,chocolates cakes confectioneries,branded food
lindt extra dark 7 1g,0 100g,chocolate,chocolates cakes confectioneries,branded food
 cheese creamy ,120g,lactima,chips namkeens snacks,branded food
chings sauce chilli ,680g,green brrew,sauces puree dips,branded food
 tissue party t,,jackson,stationery,toys stationery
 bread garlic cheese,,harvest gold,jams spreads honey,branded food
nilons sauce chopstic soya bottle ,760g,,sauces puree dips,branded food
 orange marie biscuit ,120g,sunfeast,biscuits cookies crackers,branded food
 tomato cheese instant pasta ,70g,sunfeast,noodles pastas vermicelli,branded food
 roasted salted almonds pp ,35g,rostaa,chips namkeens snacks,branded food
 healthy mix astd pp ,35g,rostaa,masala spices,grocery
frish snk jalepeno chese pkt ,300g,frozen,frozen veg,branded food
palmoive bw thermal spa mineral msg 250m,,palmolive,oral care,beauty personal care
 tiki +fries 420g+sml 415g op,400g,mccain,frozen veg,branded food
 sanitarypad panty liner ,20p,carefree,feminine care,beauty personal care
mcvities plain biscuit marie ,100g,,biscuits cookies crackers,branded food
 tpaste complete bx ,150g,himalaya,baby care,baby care
 jeera rice readymix ,250g,mtr,noodles pastas vermicelli,branded food
 facewash oil clear lemon 50m,,himalaya,skin care,beauty personal care
 skin crm nourishing 50m,,himalaya,baby care,baby care
 purifying neem scrub ,50g,himalaya,skin care,beauty personal care
 namkeen ompuri ,90g,mtr,ready to eat,branded food
 chow chow mixture ,90g,mtr,ready to eat,branded food
 gulab jamun + payasam kheer ,200g,mtr,ready to eat,branded food
 apple juice ,200ml,tropicana,fruit juices drinks,beverages
 bikaneri bhujia namkeen ,165g,kurkure,chips namkeens snacks,branded food
cream orange 4 fun,,emami 7 oils in one,skin care,beauty personal care
 ,3*150g,nice time,chocolates cakes confectioneries,branded food
rite bite sugarless apple cinnamon ,27gms,,breakfast cereals,branded food
 soap saffron ,3*150g,lux,skin care,beauty personal care
 bread high fiber,,sofresh,mineral water soda,beverages
 silicone finger toothbrush ,1p,puretta,mineral water soda,beverages
 perfume cool aqua women bt 18m,,engage,deos perfumes,beauty personal care
 perfume floral fresh women bt 18m,,engage,deos perfumes,beauty personal care
gh who pandi chilli pp ,50g,old spice,freshners repellents,home hygiene
gh punjabi dal kit ,185g,rr,stationery,toys stationery
airwick room frsn spray velvet rose 249m,,,freshners repellents,home hygiene
 phata phat m,100 g,m-seal,stationery,toys stationery
mars choc ,51g,chocolate,chocolates cakes confectioneries,branded food
 candies chewits mango pp ,200g,lotte,chocolates cakes confectioneries,branded food
 snk corn chip orignl tn ,80g,tong garden,frozen veg,branded food
kokan raj juice amla ,1l,kokanraj,fruit juices drinks,beverages
 canola bt ,1l,jivo,edible oil ghee,grocery
gh atta supreme pp ,5kg,,chocolates cakes confectioneries,branded food
gh daily pulses who moong ,500g,premium,otc,beauty personal care
gh daily who tej patta ,50g,old spice,freshners repellents,home hygiene
gh whospiceblkpepper ,50g,,chocolates cakes confectioneries,branded food
 deo spark ,150ml,kamasutra,deos perfumes,beauty personal care
 rich butter cookies ,150g,tasty treat,chocolates cakes confectioneries,branded food
 pow spice jeera ,100g,mdh,masala spices,grocery
 condom pleasure me bx ,10p,durex,otc,beauty personal care
kama sutra condom dotted ,12p,,otc,beauty personal care
ttrt pasta penne rigate pp ,500g,,noodles pastas vermicelli,branded food
 moong dal ,350g,tasty treat,dals pulses,grocery
 jeera salt biscuit,,lovely bakery,chocolates cakes confectioneries,branded food
em wooden tooth pc,,,oral care,beauty personal care
 soup chicken delite ,51g,knorr,ready to eat,branded food
 sauce red pepper ,60ml,tabasco,sauces puree dips,branded food
 chicken garlic sausages ,500g,sumeru,frozen veg,branded food
 sunflower pp ,1l,sunrich,edible oil ghee,grocery
gh prime urad dal pp ,1kg,,chocolates cakes confectioneries,branded food
 yumm mltgn chps chns ht&sour pp ,60g,too yumm!,toys,toys stationery
 roasted sweet onion & rosemary m,40g,the grannary,chips namkeens snacks,branded food
 sft drnk charged pet ,300ml,thums up,home cleaning,home hygiene
ghpr moong whole pp ,500g,green brrew,pickles chutneys,branded food
 sunscreen sun expert spf ml,50 50ml,lakme,skin care,beauty personal care
 nj refuel tp ,200ml,sunkist,toys,toys stationery
 fw frs start blueberry tb ,50ml,himalaya,otc,beauty personal care
 bakers muffins - m,50 g,chocolate,chocolates cakes confectioneries,branded food
 namk singh dana pp ,200g,brij,toys,toys stationery
abbies peanut butter creamy 1 ,2 340g,,jams spreads honey,branded food
 sft drnk green bt ,600ml,xalta ,tea coffee,beverages
 molten lava cake ,70g,kuppies,toys,toys stationery
loreal hrclr 4 nat dark ,,brown & polson,hair care,beauty personal care
 olive pomace bt ,1l,karmiq,edible oil ghee,grocery
 jam mango ,188g,kissan,jams spreads honey,branded food
 energy drink ,250ml,red bull,fruit juices drinks,beverages
 green bag lemon & honey box ,10pcs,karmiq,tea coffee,beverages
intl cool mints bt ,42g,ice breakers,freshners repellents,home hygiene
 men deo roll_on_deep ,50ml,nivea,deos perfumes,beauty personal care
 oats oatmeal ,200g,quaker,breakfast cereals,branded food
 juice mango ,1l,real,fruit juices drinks,beverages
 jelly bites diamonds ,80g,nilgiris,chocolates cakes confectioneries,branded food
 millet granolabar almond & coconut ,40g,nilgiris,chocolates cakes confectioneries,branded food
 natural premium apple ,1l,tropicana,fruit juices drinks,beverages
 & cl fw morning energy lemon ,100ml,clean mate,soft drinks,beverages
 liq ref insta 5 refill bx ,45ml,mortein,toys,toys stationery
 whole wheat bran rusk ,200g,diet foods,organic grains,grocery
 natural juice grape ,320ml,mogu mogu,fruit juices drinks,beverages
 golden mixture namkeen ,180g,garden,chips namkeens snacks,branded food
 deo fresh aromatic bx ,120ml,fogg,deos perfumes,beauty personal care
 grated hard cheese ,80g,zanetti,chips namkeens snacks,branded food
 lite sprinkler low sodium ,100g,tata,salt sugar jaggery,grocery
 gls clnr ultra trgr pk 500m,,colin,oral care,beauty personal care
 aloo bhujia ,400g,haldiram s,chips namkeens snacks,branded food
 tpste kids strawberry bx ,40g,colgate,oral care,beauty personal care
 cinnamon cubes ,500g,dhampur green,salt sugar jaggery,grocery
 bhujia ,90g,haldiram s,chips namkeens snacks,branded food
 pow spice chilli pp ,500g,badshah,chips namkeens snacks,branded food
aer freshner car petal crush pink bx ,10g,godrej,freshners repellents,home hygiene
 plax spicy fresh bt ,250ml,colgate,oral care,beauty personal care
 dessertmix badam halwa ,200g,mtr,ready to eat,branded food
 pickle mango slice ,300g,mtr,pickles chutneys,branded food
 barcake plum with egg,,garys,toys,toys stationery
 namkeen butter chakli ,90g,mtr,chips namkeens snacks,branded food
 teriyaki sauce ,325g,veeba,sauces puree dips,branded food
 khaman dhokla mix ,180g,mtr,masala spices,grocery
 badam kulfi mix ,100g,blue bird,baking dessert mixes,branded food
nestale milo active tetra pack ,180ml,go,fruit juices drinks,beverages
sangis kitchen methi pp ,200g,dana,chocolates cakes confectioneries,branded food
 motielaichi whole pp ,100g,sangi s kitchen,toys,toys stationery
 infant nan pro 4 bx ,400g,nestle,baby food,baby care
 talc musk gentle ,400g,nivea,skin care,beauty personal care
 dry mango powder bt ,40g,sangi s kitchen,masala spices,grocery
bhpc deo 8 men ,175ml,ritter sport,deos perfumes,beauty personal care
fresco eggs white ack,6 p,mr.white,toys,toys stationery
 amritsari achari masala ,73g,maggi,noodles pastas vermicelli,branded food
 hot heads chili chicken pp ,71g,maggi,noodles pastas vermicelli,branded food
 bhuna masalagravy mix ,65g,maggi,noodles pastas vermicelli,branded food
goodknight advan neem refill ,45ml,active wheel,skin care,beauty personal care
 basmati rice tibar pp ,5kg,india gate,organic grains,grocery
 oap no andl&turmrc 3+ 50g,1 s,godrej,freshners repellents,home hygiene
 bread milk,,english oven,chocolates cakes confectioneries,branded food
 atta burger bun sesam,,english oven,chocolates cakes confectioneries,branded food
 chocolate praline ,100g,ritter sport,chocolates cakes confectioneries,branded food
 sabudana chivda namkeen ,150g,garden,chips namkeens snacks,branded food
 oil adv ayur hot ,190ml,parachute,hair care,beauty personal care
 dtrgnt cke ,82g,fena,toys,toys stationery
" pickle - weet and our black lime, ",125g,nature s treat,pickles chutneys,branded food
 dahi masti pp ,1kg,amul,ice cream desserts,branded food
 desi ghee pp ,1l,amul,ice cream desserts,branded food
gh surti kolam rice ,10kg,premium,noodles pastas vermicelli,branded food
gh sandwich masala jr ,75g,,breakfast cereals,branded food
gh daily oth pulses dal ,500g,himani navratna,ice cream desserts,branded food
gh fruit n nut kismis pp ,200g,premium,chocolates cakes confectioneries,branded food
gh dry almond gp,450gg,fruit,chocolates cakes confectioneries,branded food
 appe tetra pack tr,1 l,paper boat,fruit juices drinks,beverages
 juice alphonso aam poly pack ,200ml,paper boat,fruit juices drinks,beverages
 penne rigate whole wheat pasta ,500g,borges,noodles pastas vermicelli,branded food
ambipur room frs sweet berries ,275g,,freshners repellents,home hygiene
 navratan mix rs 20,,bikano,chips namkeens snacks,branded food
 choco silk p,240g g,cadbury,chocolates cakes confectioneries,branded food
 chatax masala ,68g,bikano,chips namkeens snacks,branded food
 chaat jr ,80g,keya,masala spices,grocery
 who spice freeze dried oregano ,7g,keya,masala spices,grocery
 spirali tricolor pasta ,500g,del monte,noodles pastas vermicelli,branded food
 schezwan sauce ,190g,delmonte,sauces puree dips,branded food
 shmp sm&sh 580m+condtrn op,85m+s,tresemme,hair care,beauty personal care
 split remedy shampoo ,80 ml,tresemme,hair care,beauty personal care
 smooth & shine conditioner ,80 ml,tresemme,hair care,beauty personal care
ttrt snk margherita pizza pp ,1p,frozen,frozen veg,branded food
 wafer strawberry pp ,25g,tasty treat,chocolates cakes confectioneries,branded food
 dishwash bar 3+ 40g op,1 140g,xpert,utensil cleaners,home hygiene
ttrt salted achari ,200g,,biscuits cookies crackers,branded food
ttrt soup hot & sour veg ,39g,,ready to eat,branded food
 prawns - small ,250g,sumeru,frozen veg,branded food
 yumm krr chilli achari pp ,80g,too yumm!,otc,beauty personal care
 readymix maala ,50g,roopak s,tea coffee,beverages
fiama soap gel assorted ,3*125g,yoga bar,skin care,beauty personal care
 ajwain whole pp ,100g,sangi s kitchen,masala spices,grocery
 khukhu whole pp ,100g,sangi s kitchen,toys,toys stationery
sangis ktcn coriander pwdr pp ,200g,,chips namkeens snacks,branded food
layerr deo smokin hot shot ,135ml,,deos perfumes,beauty personal care
 fcws pollution dfense 50m,,swiss tempelle,toys,toys stationery
gems clt bx ,39.9g,monster,chocolates cakes confectioneries,branded food
 guava juice ,1l,real,fruit juices drinks,beverages
 orange juice ,1l,real,fruit juices drinks,beverages
 refined pp ,1kg,fresh & pure,salt sugar jaggery,grocery
parle mini choco chips ,100g,milano,biscuits cookies crackers,branded food
 juice trapezium gift pack ,2*1l,real,fruit juices drinks,beverages
 sanitarypad sec cott xl wing ,7p,stayfree,feminine care,beauty personal care
 det pow matic front load bx ,1kg,henko,home cleaning,home hygiene
 balm strong jr ,55ml,amrutanjan,otc,beauty personal care
