cleaned,quantity,final_brand,class1,class2,type,cleaned_more,get_cleaned
 bikaneri masala papad ,200g,maxx,ready to fry,branded food,papad, bikaneri masala ,['masala']
 n eat papad diamond ,150g,easy choice,ready to fry,branded food,papad, n eat diamond ,"['eat', 'diamond']"
 french fries crazy fries pp ,375g,mccain,frozen veg,branded food,fries, french crazy pp ,"['french', 'crazy']"
 mlti use liquid lime ,200g,dettol,personal hygiene,beauty personal care,lime, mlti use liquid ,"['use', 'liquid']"
 ginger ,200g,hommade,cooking paste,grocery,ginger, ,[]
mitha mukhwas,,pan,jams spreads honey,branded food,,mitha mukhwas,[]
 natural juice lychee ,320ml,mogu mogu,fruit juices drinks,beverages,lychee juice, natural ,['natural']
 ni namk potato chwda ,250g,laxminarayan ,chips namkeens snacks,branded food,potato, ni namk chwda ,[]
 anar pp ,200ml,paper boat,fruit juices drinks,beverages,, anar pp ,[]
waghbakri leaf strong & refreshing jar ,1kg,tata tea,tea coffee,beverages,leaf,waghbakri strong & refreshing jar ,"['strong', 'refreshing', 'jar']"
 kool rose milk bottle ,200ml,amul,ice cream desserts,branded food,milk, kool rose bottle ,"['rose', 'bottle']"
amul chocominis ,250g,chocolate,chocolates cakes confectioneries,branded food,,amul chocominis ,[]
 gulab jamun tin ,500g,amul,ice cream desserts,branded food,gulab jamun, tin ,['tin']
 babycereal wheat s ,1 300g,cerelac,chocolates cakes confectioneries,branded food,wheat, babycereal s ,[]
 cornetto red velvet ,120ml,kwality walls,ice cream desserts,branded food,red velvet, cornetto ,['cornetto']
 kulfi kesar ,50ml,kwality walls,ice cream desserts,branded food,kulfi kesar, ,[]
 namk nut cracker ,155g,kurkure,biscuits cookies crackers,branded food,, namk nut cracker ,"['nut', 'cracker']"
 pw izolflr 975m+colin 500m op,1l+l,harpic,home cleaning,home hygiene,, pw izolflr 975m+colin 500m op,[]
imported energising peppermint & nettle ,20pcs,twinings,chocolates cakes confectioneries,branded food,peppermint,imported energising & nettle ,"['imported', 'energising', 'nettle']"
 assam second flush tin ,100g,twinings,tea coffee,beverages,assam, second flush tin ,"['second', 'flush', 'tin']"
 juice premium gold orang 1 2ml,0 200ml,tropicana,fruit juices drinks,beverages,juice, premium gold orang 1 2ml,"['premium', 'gold', 'orang']"
 soft touch 3+1,125g,lux,skin care,beauty personal care,, soft touch 3+1,"['soft', 'touch']"
 wc choco shake tp 180m,,britannia,chocolates cakes confectioneries,branded food,choco, wc shake tp 180m,['shake']
 namkeen tana tan alu bhjia 1k,,bikaji,chips namkeens snacks,branded food,tan namkeen, a alu bhjia 1k,['alu']
ttrt instant ndl vrmicli schezwan pp ,65g,,ready to eat,branded food,,ttrt instant ndl vrmicli schezwan pp ,['instant']
ttrt jam apple bt ,250g,,jams spreads honey,branded food,apple,ttrt jam bt ,['jam']
 rm frs natural spring ref+machin,,odonil,freshners repellents,home hygiene,, rm frs natural spring ref+machin,"['frs', 'natural', 'spring']"
 room fresh natural spring ref ,1p,odonil,freshners repellents,home hygiene,, room fresh natural spring ref ,"['room', 'fresh', 'natural', 'spring', 'ref']"
 cool mint mild taste bt ,250ml,listerine,oral care,beauty personal care,mint, cool mild taste bt ,"['cool', 'mild', 'taste']"
 fw bio white advancd fair ,100ml,biotique,baby care,baby care,white, fw bio advancd fair ,"['bio', 'fair']"
crmt party disp bowls ,10p,,stationery,toys stationery,,crmt party disp bowls ,"['party', 'bowls']"
peeled garlic,,ariel,laundry,home hygiene,garlic,peeled ,['peeled']
 dipping sauces tango mango bt ,250g,soul,baking dessert mixes,branded food,sauces mango, dipping tango bt ,"['dipping', 'tango']"
cucumber cut,,sumeru,pickles chutneys,branded food,cucumber, cut,['cut']
 g sauce bbq honey jr ,510g,american garden,sauces puree dips,branded food,honey sauce, g bbq jr ,[]
nilons preserve ginger paste 2+ 00g,1 100g,,jams spreads honey,branded food,ginger,nilons preserve paste 2+ 00g,"['preserve', 'paste']"
 kesh kanti oil ,120ml,patanjali,hair care,beauty personal care,, kesh kanti oil ,"['kesh', 'oil']"
 superior detergent powder ,1kg,patanjali,laundry,home hygiene,, superior detergent powder ,"['superior', 'detergent', 'powder']"
 pachak hing goli jar ,100g,patanjali,otc,beauty personal care,, pachak hing goli jar ,['jar']
nilons lime pickle ,300g,,pickles chutneys,branded food,lime pickle,nilons ,[]
 readymix meat bx ,100g,everest,masala spices,grocery,meat, readymix bx ,[]
 bronze long grain rice ,1kg,asbah,stationery,toys stationery,rice grain, bronze long ,"['bronze', 'long']"
 pasta penne regate ,500g,san remo,noodles pastas vermicelli,branded food,penne pasta, regate ,[]
 buttermilk cool & refreshing tetra pack ,200ml,mother dairy,skin care,beauty personal care,buttermilk, cool & refreshing tetra pack ,"['cool', 'refreshing', 'tetra', 'pack']"
 sc whitening day cream bx ,50g,himalaya,skin care,beauty personal care,cream, sc whitening day bx ,"['whitening', 'day']"
 shmp damag repair protein ,400ml,himalaya,otc,beauty personal care,, shmp damag repair protein ,"['repair', 'protein']"
 ,875g,mtr,noodles pastas vermicelli,branded food,, ,[]
 snack mix potato cheese balls ,95g,mtr,chips namkeens snacks,branded food,cheese potato, snack mix balls ,"['snack', 'mix', 'balls']"
imported mcvities milk hobnobs ,300g,chocolate,biscuits cookies crackers,branded food,milk,imported mcvities hobnobs ,"['imported', 'mcvities']"
 mix chicken ,100g,goldiee,ready to eat,branded food,chicken, mix ,['mix']
intl vinegar apple cider ,473ml,heinz,masala spices,grocery,vinegar apple cider,intl ,[]
 tahini dressing sauce ,200g,alfez,sauces puree dips,branded food,sauce tahini, dressing ,['dressing']
 italian salad dressing ,250ml,remia,jams spreads honey,branded food,salad, italian dressing ,"['italian', 'dressing']"
 plus ayurveda triphala shampoo ,175 ml,clinic plus+,hair care,beauty personal care,, plus ayurveda triphala shampoo ,"['plus', 'shampoo']"
 pedi glow foot kit,,vlcc,skin care,beauty personal care,glow pedi, foot kit,"['foot', 'kit']"
gh black m,100g,,salt sugar jaggery,grocery,black,gh m,[]
 shrikhand badam pista tub ,500g,amul,ice cream desserts,branded food,pista badam, shrikhand tub ,['tub']
 milk slim n trim pp ,500ml,amul,ice cream desserts,branded food,milk, slim n trim pp ,"['slim', 'trim']"
 candies starmix pp ,175g,haribo,toys,toys stationery,candies, starmix pp ,[]
 snk peanuts hing jeera pp ,120g,jabsons ,chips namkeens snacks,branded food,peanuts jeera, snk hing pp ,[]
 soup hot&sour vegetable pp ,48g,keya,ready to eat,branded food,soup vegetable, hot&sour pp ,[]
 ni namkeen combi,3*150g,tasty treat,frozen veg,branded food,namkeen, ni combi,[]
 sauce tom mayo bt ,210g,tasty treat,sauces puree dips,branded food,mayo sauce, tom bt ,['tom']
 nail polish rd ,161 6ml,easy maxx,laundry,home hygiene,, nail polish rd ,"['nail', 'polish']"
 breaded fish fillet ,350g,sumeru,frozen veg,branded food,breaded fillet fish, ,[]
sumeru fish fillet ,300g,premium,frozen veg,branded food,fillet fish,sumeru ,[]
 pow spice coriander ,200g,ashok,masala spices,grocery,coriander, pow spice ,"['pow', 'spice']"
 veggi manchow cup ,70g,nissin,noodles pastas vermicelli,branded food,, veggi manchow cup ,['cup']
date wet date bumaan + op,1 500g,crown,otc,beauty personal care,,date wet date bumaan + op,"['date', 'wet', 'date']"
 juice pomegranate tp ,1l,b natural,fruit juices drinks,beverages,juice pomegranate, tp ,[]
 slt bis sixer jr ,200g,parle,chocolates cakes confectioneries,branded food,, slt bis sixer jr ,"['slt', 'bis', 'sixer']"
 aloevera juice orange flavour ,1l,patanjali,fruit juices drinks,beverages,orange juice, aloevera flavour ,['flavour']
 sweet bun,,harvest gold,tea coffee,beverages,, sweet bun,"['sweet', 'bun']"
 milk topp up mango bt ,200ml,gowardhan,chocolates cakes confectioneries,branded food,milk mango, topp up bt ,['topp']
 namk yellow banana chip ,150g,chheda s,chocolates cakes confectioneries,branded food,banana yellow, namk chip ,['chip']
 spray lime dengue&malaria ,200ml,hit,freshners repellents,home hygiene,lime, spray dengue&malaria ,['spray']
 chocofills luxuria box ,150g,sunfeast,biscuits cookies crackers,branded food,, chocofills luxuria box ,['box']
head sho shmp retain men bt ,170ml,hair & care,hair care,beauty personal care,,head sho shmp retain men bt ,"['head', 'sho', 'retain', 'men']"
 soap love&nourish olive btr ,3*125g,vivel,skin care,beauty personal care,olive, soap love&nourish btr ,"['soap', 'btr']"
 nature germ protection hand wash ,800 ml,lifebuoy,personal hygiene,beauty personal care,, nature germ protection hand wash ,"['nature', 'germ', 'protection', 'hand', 'wash']"
 total protection diapers large ,48 pcs,huggies,baby care,baby care,diapers, total protection large ,"['total', 'protection', 'large']"
 dark temptation after shave lotion ,50 ml,axe signature,deos perfumes,beauty personal care,dark, temptation after shave lotion ,"['temptation', 'shave', 'lotion']"
 bk bar choco chip,,sofresh,chocolates cakes confectioneries,branded food,choco, bk bar chip,"['bar', 'chip']"
 bk bar cranberry,,sofresh,chocolates cakes confectioneries,branded food,cranberry, bk bar ,['bar']
 pure olive tn ,1l,figaro,edible oil ghee,grocery,olive, pure tn ,['pure']
gh urad dal gundu prem 1k,,,chocolates cakes confectioneries,branded food,dal urad,gh gundu prem 1k,['prem']
 face freshner 100m,,dabur gulabari,skin care,beauty personal care,, face freshner 100m,['face']
 cheese cheddar tin ,400g,britannia,biscuits cookies crackers,branded food,cheese cheddar, tin ,['tin']
pooof belgian popcorn pp ,60g,chocolate,chocolates cakes confectioneries,branded food,,pooof belgian popcorn pp ,"['belgian', 'popcorn']"
 deco red 15w,,philips,personal care appliances,beauty personal care,red, deco 15w,['deco']
 body fragrance epic bt 150m,,park avenue,deos perfumes,beauty personal care,, body fragrance epic bt 150m,"['body', 'fragrance', 'epic']"
bakerstreet ck choco cramel fntsy pp ,37g,,chocolates cakes confectioneries,branded food,choco,bakerstreet ck cramel fntsy pp ,[]
 flv yoghurt strawberry op,4*80g,danone,soft drinks,beverages,yoghurt strawberry, flv op,[]
 etter foxtai miet bx 500g,24 l,24 mantra,organic grains,grocery,, etter foxtai miet bx 500g,[]
 etter kodo miet bx 500g,24 l,24 mantra,organic grains,grocery,, etter kodo miet bx 500g,[]
 disposable combi pck,,zipouch,chocolates cakes confectioneries,branded food,, disposable combi pck,['disposable']
 dahi misti doi cup ,85g,danone,toys,toys stationery,dahi, misti doi cup ,"['doi', 'cup']"
 tr red poha pp 500g,24 l,24 mantra,organic grains,grocery,red poha, tr pp 500g,[]
 tr wheat daiya pp 500g,24 l,24 mantra,oral care,beauty personal care,wheat, tr daiya pp 500g,[]
 hairpin waives bob pins po 60,,ts,toys,toys stationery,, hairpin waives bob pins po 60,"['hairpin', 'waives', 'bob', 'pins']"
raw pres juice trim spnch doodhi 250m,,,fruit juices drinks,beverages,juice,raw pres trim spnch doodhi 250m,"['raw', 'pres', 'trim']"
 milk double tonned pp ,500ml,verka,chocolates cakes confectioneries,branded food,milk, double tonned pp ,['double']
 cow tetra,1l,verka,edible oil ghee,grocery,, cow tetra,"['cow', 'tetra']"
 waffer biscuit coconut quadratini ,125g,loacker,biscuits cookies crackers,branded food,coconut, waffer biscuit quadratini ,['biscuit']
 quadratini cappuccino ,110g,loacker,toys,toys stationery,, quadratini cappuccino ,['cappuccino']
 can fruit pitted prunes pp ,227g,sunsweet,chocolates cakes confectioneries,branded food,fruit prunes, can pitted pp ,['pitted']
loreal hrclr cstng crm medium brwn 500m,,,oral care,beauty personal care,,loreal hrclr cstng crm medium brwn 500m,['medium']
 pow spice jeera pp ,100g,aachi,masala spices,grocery,jeera, pow spice pp ,"['pow', 'spice']"
 fish curry ,50g,aachi,masala spices,grocery,curry fish, ,[]
 trile clean toothbrush soft c,1 p,pepsodent,oral care,beauty personal care,, trile clean toothbrush soft c,"['clean', 'toothbrush', 'soft']"
 kids toothbrush soft c,1 p,pepsodent,oral care,beauty personal care,, kids toothbrush soft c,"['kids', 'toothbrush', 'soft']"
 complete expert toothbrush soft c,1p,pepsodent,oral care,beauty personal care,, complete expert toothbrush soft c,"['complete', 'expert', 'toothbrush', 'soft']"
cream biscuit bourbon 4 fun,,,biscuits cookies crackers,branded food,cream, biscuit bourbon 4 fun,"['biscuit', 'bourbon', 'fun']"
twinnings lemon bag ,25pcs,green brrew,tea coffee,beverages,lemon bag,twinnings ,[]
 butterscotch party pack,700 ml,kwality walls,ice cream desserts,branded food,butterscotch, party pack,"['party', 'pack']"
ttrt instnt pasta masala pp ,70g,,noodles pastas vermicelli,branded food,pasta,ttrt instnt masala pp ,['masala']
 kool kesar milk tetra pack ,200ml,amul,ice cream desserts,branded food,kesar milk, kool tetra pack ,"['tetra', 'pack']"
 premix elaichi box ,10*14g,wagh bakri,tea coffee,beverages,elaichi, premix box ,['box']
 rose lassi ,200ml,amul,ice cream desserts,branded food,lassi, rose ,['rose']
 kool kesar milk can ,250ml,amul,ice cream desserts,branded food,kesar milk, kool can ,[]
 flv milk kool thandai bt 200m,,amul,ice cream desserts,branded food,milk, flv kool thandai bt 200m,[]
 malai paneer pp ,100g,amul,frozen veg,branded food,paneer malai, pp ,[]
amul fruit & nut congrats pack ,150g,chocolate,chocolates cakes confectioneries,branded food,fruit,amul & nut congrats pack ,"['nut', 'congrats', 'pack']"
gh govindbhog rice pp ,1kg,,noodles pastas vermicelli,branded food,rice,gh govindbhog pp ,[]
gh suji rava ,1kg,premium,stationery,toys stationery,suji rava,gh ,[]
 bdy ltn spf thy white 100m,24 hl,vaseline,skin care,beauty personal care,white, bdy ltn spf thy 100m,"['spf', 'thy']"
 spread peanut butter creamy ,462g,sundrop,jams spreads honey,branded food,creamy peanut butter, spread ,['spread']
 goda pp ,100g,eastern,masala spices,grocery,, goda pp ,[]
 readymix dal bx ,50g,eastern,masala spices,grocery,dal, readymix bx ,[]
 readymix fish pp ,100g,eastern,masala spices,grocery,fish, readymix pp ,[]
 rainbow stick,,mentos,stationery,toys stationery,rainbow, stick,['stick']
healtht cold pressed flax bt 500ml,1s,,edible oil ghee,grocery,,healtht cold pressed flax bt 500ml,"['cold', 'pressed', 'flax']"
mothers rec pickle grn chilli ,400g,,pickles chutneys,branded food,chilli pickle,mothers rec grn ,"['mothers', 'rec']"
 gard hlt snk wasabi grn peas ,90g,tong garden,frozen veg,branded food,wasabi peas, gard hlt snk grn ,['gard']
wrigleys spearmint 4.8g,15p,doublemint,chocolates cakes confectioneries,branded food,spearmint,wrigleys 4.8g,[]
 body wash lemon ,250ml,think skin,skin care,beauty personal care,lemon, body wash ,"['body', 'wash']"
crmt na * ly 50 rnt k,33 2 p,paper boat,fruit juices drinks,beverages,,crmt na * ly 50 rnt k,[]
 oth snk tedhe medhe msl tadka ,95g,bingo,toys,toys stationery,tadka, oth snk tedhe medhe msl ,"['oth', 'msl']"
 wfr yumitos salt sprinkled pp ,75g,bingo,chips namkeens snacks,branded food,, wfr yumitos salt sprinkled pp ,"['salt', 'sprinkled']"
 readymix biryani bx ,50g,catch,masala spices,grocery,biryani, readymix bx ,[]
 snk mad angle achari masti pp ,140g,bingo,chips namkeens snacks,branded food,, snk mad angle achari masti pp ,"['mad', 'angle']"
 fw dp cln fcl clnsr 50m,,neutrogena,toys,toys stationery,, fw dp cln fcl clnsr 50m,['fcl']
 nail polish rd ,18 6ml,easy maxx,laundry,home hygiene,, nail polish rd ,"['nail', 'polish']"
 rose syrup ,700ml,rasna,fun drink mix,beverages,syrup, rose ,['rose']
 jhal chanachur ,1kg,haldiram s prabhuji,chips namkeens snacks,branded food,, jhal chanachur ,[]
brijnandan namk soya katori pp ,100g,,toys,toys stationery,soya,brijnandan namk katori pp ,[]
 ghee oan papdi,,haldiram s prabhuji,chips namkeens snacks,branded food,ghee, oan papdi,['oan']
 roat&alt pitachio ,200g,nature s choice,organic flours,grocery,, roat&alt pitachio ,[]
 san pad bodyfit xlarge pp ,6p,sofy,feminine care,beauty personal care,, san pad bodyfit xlarge pp ,"['san', 'pad']"
 paneer fresh pp ,200g,paras,ready to eat,branded food,paneer, fresh pp ,['fresh']
 vitarich bread,,britannia,biscuits cookies crackers,branded food,bread, vitarich ,[]
bhpc edt men ,9 50ml,ritter sport,deos perfumes,beauty personal care,,bhpc edt men ,"['edt', 'men']"
 khatta metha pickle ,400g,tops,pickles chutneys,branded food,pickle, khatta metha ,[]
 gold pellets 100,,sugar free,salt sugar jaggery,grocery,, gold pellets 100,"['gold', 'pellets', '100']"
 gold powder concentrate ,100g,sugar free,salt sugar jaggery,grocery,, gold powder concentrate ,"['gold', 'powder', 'concentrate']"
 sunblock matte look spf ,40 50g,lotus,skin care,beauty personal care,matte, sunblock look spf ,"['sunblock', 'look', 'spf']"
 sunblock pspf3 1g,0 100g,lotus,skin care,beauty personal care,, sunblock pspf3 1g,['sunblock']
 sauce tomato no onion no garlic ,500g,maggi,sauces puree dips,branded food,garlic onion sauce tomato, no no ,[]
 tomato ketchup ,1kg,maggi,sauces puree dips,branded food,ketchup tomato, ,[]
 oth disp scourers pack of 3,,clmt,toys,toys stationery,, oth disp scourers pack of 3,"['oth', 'scourers', 'pack']"
